id	description	dataset	category	subcategory	region	delay	universe	type	coverage	userCount	alphaCount	themes
fscore_profitability	The purpose of this metric is to rank stock based on their ability to generate cash flows.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	0.2981	177	298	[]
fscore_quality	The purpose of this metric is to measure both the sustainability and certainty of earnings.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	0.2993	713	1395	[]
fscore_surface	The static score. An index between 0 & 100 is applied for each stock and each composite factor - The first ranking is a pentagon surface-based score. The larger the surface, the higher the rank.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	0.2957	150	405	[]
fscore_surface_accel	The derivative score. In a second step, we calculate the derivative of this score (ie: Is the surface of the pentagon increasing or decreasing from the previous month?).	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	0.2946	82	198	[]
fscore_total	The final score M-Score is a weighted average of both the Pentagon surface score and the Pentagon acceleration score.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	0.2946	127	299	[]
fscore_value	The purpose of this metric is to see if the stock is under or overpriced given several well known valuation standards.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	0.2981	192	335	[]
growth_potential_rank_derivative	Change in ranking for medium-term growth potential compared to previous period.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	1.0	4	5	[]
multi_factor_acceleration_score_derivative	Change in the acceleration of multi-factor score compared to previous period.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	1.0	4	7	[]
multi_factor_static_score_derivative	Change in static multi-factor score compared to previous period.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	1.0	4	4	[]
relative_valuation_rank_derivative	Change in ranking for valuation metrics compared to previous period.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOP3000	MATRIX	1.0	2	2	[]
